date,count
2026-02-24,5
2026-02-25,4
2026-02-26,3
2026-02-27,2
2026-02-28,0
2026-03-01,0
2026-03-02,1
2026-03-03,5
2026-03-04,4
2026-03-05,3
2026-03-06,2
2026-03-07,0
2026-03-08,3
2026-03-09,4
2026-03-10,3
2026-03-11,0
2026-03-12,1
2026-03-13,5
2026-03-14,2
2026-03-15,1
2026-03-16,2
2026-03-17,1
2026-03-18,5
2026-03-19,4
2026-03-20,3
2026-03-21,0
2026-03-22,0
2026-03-23,5
2026-03-24,4
2026-03-25,3
2026-03-26,2
2026-03-27,1
2026-03-28,3
2026-03-29,2
2026-03-30,3
2026-03-31,2
2026-04-01,5
2026-04-02,0
2026-04-03,3
2026-04-04,0
2026-04-05,0
2026-04-06,5
2026-04-07,4
2026-04-08,3
2026-04-09,2
2026-04-10,1
2026-04-11,3
2026-04-12,2
2026-04-13,0
2026-04-14,2
2026-04-15,1
2026-04-16,5
2026-04-17,4
2026-04-18,1
2026-04-19,0
2026-04-20,1
2026-04-21,5
2026-04-22,4
2026-04-23,3
2026-04-24,0
2026-04-25,0
2026-04-26,3
2026-04-27,4
2026-04-28,3
2026-04-29,2
2026-04-30,1
2026-05-01,5
2026-05-02,2
2026-05-03,1
2026-05-04,2
2026-05-05,0
2026-05-06,5
2026-05-07,4
2026-05-08,3
2026-05-09,0
2026-05-10,0
2026-05-11,5
2026-05-12,4
2026-05-13,3
2026-05-14,2
2026-05-15,1
2026-05-16,0
2026-05-17,2
2026-05-18,3
2026-05-19,2
2026-05-20,1
2026-05-21,5
2026-05-22,4
2026-05-23,1
2026-05-24,0
2026-05-25,1
2026-05-26,5
2026-05-27,0
2026-05-28,3
2026-05-29,2
2026-05-30,0
2026-05-31,3
2026-06-01,3
2026-06-02,2
2026-06-03,1
2026-06-04,5
2026-06-05,4
2026-06-06,1
2026-06-07,0
2026-06-08,1
2026-06-09,5
2026-06-10,4
2026-06-11,3
2026-06-12,2
2026-06-13,0
2026-06-14,3
2026-06-15,4
2026-06-16,3
2026-06-17,2
2026-06-18,0
2026-06-19,5
2026-06-20,2
2026-06-21,1
2026-06-22,2
2026-06-23,1
2026-06-24,5
2026-06-25,4
2026-06-26,3
2026-06-27,0
2026-06-28,0
2026-06-29,0
